block_fips,block_name,town,county,town_fips
090010302003012,Block 3012,Darien,Fairfield,0900118850
090052602002019,Block 2019,North Canaan,Litchfield,0900554030
090117091002076,Block 2076,Griswold,New London,0901133900
090091753004021,Block 4021,Wallingford,New Haven,0900978740
090091424001003,Block 1003,New Haven,New Haven,0900952070
090053102002023,Block 2023,Torrington,Litchfield,0900576570
090091402001007,Block 1007,New Haven,New Haven,0900952070
090091847001037,Block 1037,Branford,New Haven,0900907310
090075801002003,Block 2003,Middlefield,Middlesex,0900747080
090012402003034,Block 3034,Redding,Fairfield,0900163480
090099900000047,Block 0047,Milford,New Haven,0900947535
090091511001001,Block 1001,Milford,New Haven,0900947535
090012113003001,Block 3001,Danbury,Fairfield,0900118500
090159011003049,Block 3049,Woodstock,Windham,0901588190
090117151002062,Block 2062,Salem,New London,0901166210
090010219003003,Block 3003,Stamford,Fairfield,0900173070
090117001001023,Block 1023,Preston,New London,0901162150
090119901000032,Block 0032,County subdivisions not defined,,
090093431022002,Block 2002,Cheshire,New Haven,0900914160
090091424001000,Block 1000,New Haven,New Haven,0900952070
090012105003042,Block 3042,Danbury,Fairfield,0900118500
090117030001027,Block 1027,Groton,New London,0901134250
090011102011028,Block 1028,Shelton,Fairfield,0900168170
090118702002020,Block 2020,Groton,New London,0901134250
090054256003023,Block 3023,Norfolk,Litchfield,0900553470
090135331015011,Block 5011,Tolland,Tolland,0901376290
090091509002012,Block 2012,Milford,New Haven,0900947535
090035102002075,Block 2075,East Hartford,Hartford,0900322630
090052961001073,Block 1073,Goshen,Litchfield,0900532290
090118701003038,Block 3038,Lebanon,New London,0901142390
090159041004084,Block 4084,Killingly,Windham,0901540500
090010111004023,Block 4023,Greenwich,Fairfield,0900133620
090076801004017,Block 4017,Westbrook,Middlesex,0900781680
090093481111028,Block 1028,Southbury,New Haven,0900969640
090010615001006,Block 1006,Fairfield,Fairfield,0900126620
090034842001041,Block 1041,East Windsor,Hartford,0900324800
090052651001068,Block 1068,Warren,Litchfield,0900579510
090034681023022,Block 3022,Granby,Hartford,0900332640
090052671001018,Block 1018,Washington,Litchfield,0900579720
090012303001009,Block 1009,Newtown,Fairfield,0900152980
090053492001012,Block 1012,Thomaston,Litchfield,0900575730
090012203001001,Block 1001,New Fairfield,Fairfield,0900150860
090091902002035,Block 2035,Guilford,New Haven,0900934950
090010442004007,Block 4007,Norwalk,Fairfield,0900156060
090093613003014,Block 3014,Wolcott,New Haven,0900987560
090034641023003,Block 3003,Canton,Hartford,0900312270
090075702002000,Block 2000,Cromwell,Middlesex,0900718080
090099900000025,Block 0025,New Haven,New Haven,0900952070
090053005001063,Block 1063,Litchfield,Litchfield,0900543370
090011106002021,Block 2021,Shelton,Fairfield,0900168170
090010203002000,Block 2000,Stamford,Fairfield,0900173070
090091252001007,Block 1007,Ansonia,New Haven,0900901220
090118707011049,Block 1049,East Lyme,New London,0901123400
090052651001121,Block 1121,Warren,Litchfield,0900579510
090075951013010,Block 3010,East Haddam,Middlesex,0900722280
090034772001007,Block 1007,Suffield,Hartford,0900374540
090116501001072,Block 1072,Lyme,New London,0901144210
090118707043001,Block 3001,East Lyme,New London,0901123400
090010101012007,Block 2007,Greenwich,Fairfield,0900133620
090035111001001,Block 1001,East Hartford,Hartford,0900322630
090116933002019,Block 2019,Waterford,New London,0901180280
090034807002003,Block 2003,Enfield,Hartford,0900325990
090138811003055,Block 3055,Mansfield,Tolland,0901344910
090117021002051,Block 2051,Groton,New London,0901134250
090034001003038,Block 3038,Berlin,Hartford,0900304300
090158150002004,Block 2004,Chaplin,Windham,0901513810
090034622012033,Block 2033,Avon,Hartford,0900302060
090158006001008,Block 1008,Windham,Windham,0901586790
090010606001018,Block 1018,Fairfield,Fairfield,0900126620
090091902001001,Block 1001,Guilford,New Haven,0900934950
090118707043005,Block 3005,East Lyme,New London,0901123400
090075414011042,Block 1042,Middletown,Middlesex,0900747360
090119901000024,Block 0024,Old Lyme,New London,0901157040
090117071001044,Block 1044,North Stonington,New London,0901155500
090076201004030,Block 4030,Deep River,Middlesex,0900719130
090117030002012,Block 2012,Groton,New London,0901134250
090117053002047,Block 2047,Stonington,New London,0901173770
090035141024023,Block 4023,Manchester,Hartford,0900344700
090091845001034,Block 1034,Branford,New Haven,0900907310
090052651001036,Block 1036,Warren,Litchfield,0900579510
090010223002017,Block 2017,Stamford,Fairfield,0900173070
090010907002008,Block 2008,Trumbull,Fairfield,0900177200
090052661001033,Block 1033,Kent,Litchfield,0900540290
090052621003080,Block 3080,Sharon,Litchfield,0900567960
090116907001004,Block 1004,New London,New London,0901152350
090093513004002,Block 4002,Waterbury,New Haven,0900980070
090075703004044,Block 4044,Cromwell,Middlesex,0900718080
090053601002001,Block 2001,Watertown,Litchfield,0900580490
090010112001000,Block 1000,Greenwich,Fairfield,0900133620
090159061003034,Block 3034,Canterbury,Windham,0901512130
090117027003019,Block 3019,Groton,New London,0901134250
090052501002024,Block 2024,Bridgewater,Litchfield,0900508210
090010812001000,Block 1000,Milford,New Haven,0900947535
090091501001029,Block 1029,Milford,New Haven,0900947535
090091547003009,Block 3009,County subdivisions not defined,,
090010433001003,Block 1003,Norwalk,Fairfield,0900156060
090117053003049,Block 3049,Stonington,New London,0901173770
090010303001034,Block 1034,Darien,Fairfield,0900118850
090076801004035,Block 4035,Westbrook,Middlesex,0900781680
090091801004016,Block 4016,East Haven,New Haven,0900922910
090158200001005,Block 1005,Hampton,Windham,0901536000
090091672012014,Block 2014,North Haven,New Haven,0900954870
090118703004004,Block 4004,New London,New London,0901152350
090118703002000,Block 2000,New London,New London,0901152350
090117141032033,Block 2033,Colchester,New London,0901115910
090052602002006,Block 2006,North Canaan,Litchfield,0900554030
090158005003028,Block 3028,Windham,Windham,0901586790
090010439001012,Block 1012,Norwalk,Fairfield,0900156060
090117011001045,Block 1045,Ledyard,New London,0901142600
090116952012005,Block 2005,Montville,New London,0901148900
090117012005000,Block 5000,Ledyard,New London,0901142600
090099900000028,Block 0028,County subdivisions not defined,,
